method,dataset,config,relation,n,no_ctx,compressed,fallback_full,best,cost_comp,cost_full
cartridge,hotpot_qa,main_cart_hotpot_qa,overall,672,0.217,0.211,0.264,0.307,105,794
cartridge,hotpot_qa,main_cart_hotpot_qa,in_task,96,0.118,0.116,0.201,0.236,102,729
cartridge,hotpot_qa,main_cart_hotpot_qa,cross_task_in_domain,192,0.156,0.164,0.292,0.318,97,612
cartridge,hotpot_qa,main_cart_hotpot_qa,cross_task_cross_domain,384,0.273,0.257,0.266,0.32,109,902
cartridge,ms_marco,main_cart_ms_marco,overall,672,0.218,0.21,0.263,0.304,105,794
cartridge,ms_marco,main_cart_ms_marco,in_task,96,0.207,0.202,0.273,0.299,90,386
cartridge,ms_marco,main_cart_ms_marco,cross_task_cross_domain,576,0.219,0.211,0.261,0.305,108,862
cartridge,musr_mm,main_cart_musr_mm,overall,672,0.217,0.199,0.264,0.295,105,794
cartridge,musr_mm,main_cart_musr_mm,in_task,96,0.5,0.469,0.531,0.573,104,1057
cartridge,musr_mm,main_cart_musr_mm,cross_task_cross_domain,576,0.17,0.154,0.22,0.248,105,751
cartridge,narrativeqa,main_cart_narrativeqa,overall,672,0.217,0.207,0.264,0.312,105,794
cartridge,narrativeqa,main_cart_narrativeqa,in_task,96,0.126,0.134,0.116,0.157,92,1052
cartridge,narrativeqa,main_cart_narrativeqa,cross_task_in_domain,96,0.26,0.229,0.146,0.26,152,1112
cartridge,narrativeqa,main_cart_narrativeqa,cross_task_cross_domain,480,0.227,0.217,0.317,0.354,98,679
cartridge,quality,main_cart_quality,overall,672,0.217,0.207,0.264,0.305,105,794
cartridge,quality,main_cart_quality,in_task,96,0.26,0.198,0.146,0.219,152,1112
cartridge,quality,main_cart_quality,cross_task_in_domain,96,0.126,0.123,0.116,0.152,92,1052
cartridge,quality,main_cart_quality,cross_task_cross_domain,480,0.227,0.225,0.317,0.353,98,679
cartridge,trivia_qa,main_cart_trivia_qa,overall,672,0.217,0.205,0.264,0.299,105,794
cartridge,trivia_qa,main_cart_trivia_qa,in_task,96,0.177,0.205,0.218,0.254,102,1017
cartridge,trivia_qa,main_cart_trivia_qa,cross_task_in_domain,192,0.126,0.125,0.284,0.307,98,468
cartridge,trivia_qa,main_cart_trivia_qa,cross_task_cross_domain,384,0.273,0.245,0.266,0.306,109,902
gcm,hotpot_qa,main_gcm_hotpot_qa,overall,672,0.217,0.208,0.264,0.323,105,794
gcm,hotpot_qa,main_gcm_hotpot_qa,in_task,96,0.118,0.134,0.201,0.249,102,729
gcm,hotpot_qa,main_gcm_hotpot_qa,cross_task_in_domain,192,0.156,0.182,0.292,0.347,97,612
gcm,hotpot_qa,main_gcm_hotpot_qa,cross_task_cross_domain,384,0.273,0.24,0.266,0.33,109,902
gcm,ms_marco,main_gcm_ms_marco,overall,672,0.217,0.202,0.264,0.326,105,794
gcm,ms_marco,main_gcm_ms_marco,in_task,96,0.205,0.156,0.271,0.3,90,386
gcm,ms_marco,main_gcm_ms_marco,cross_task_cross_domain,576,0.219,0.21,0.263,0.33,108,862
gcm,musr_mm,main_gcm_musr_mm,overall,672,0.217,0.209,0.264,0.317,105,794
gcm,musr_mm,main_gcm_musr_mm,in_task,96,0.5,0.49,0.531,0.604,104,1057
gcm,musr_mm,main_gcm_musr_mm,cross_task_cross_domain,576,0.17,0.163,0.22,0.27,105,751
gcm,narrativeqa,main_gcm_narrativeqa,overall,672,0.218,0.199,0.263,0.315,105,794
gcm,narrativeqa,main_gcm_narrativeqa,in_task,96,0.126,0.117,0.116,0.149,92,1052
gcm,narrativeqa,main_gcm_narrativeqa,cross_task_in_domain,96,0.26,0.198,0.146,0.25,152,1112
gcm,narrativeqa,main_gcm_narrativeqa,cross_task_cross_domain,480,0.227,0.216,0.315,0.361,98,679
gcm,quality,main_gcm_quality,overall,672,0.217,0.194,0.264,0.31,105,794
gcm,quality,main_gcm_quality,in_task,96,0.26,0.208,0.146,0.229,152,1112
gcm,quality,main_gcm_quality,cross_task_in_domain,96,0.126,0.096,0.116,0.137,92,1052
gcm,quality,main_gcm_quality,cross_task_cross_domain,480,0.227,0.21,0.317,0.361,98,679
gcm,trivia_qa,main_gcm_trivia_qa,overall,672,0.217,0.228,0.264,0.348,105,794
gcm,trivia_qa,main_gcm_trivia_qa,in_task,96,0.177,0.293,0.218,0.372,102,1017
gcm,trivia_qa,main_gcm_trivia_qa,cross_task_in_domain,192,0.126,0.142,0.284,0.327,98,468
gcm,trivia_qa,main_gcm_trivia_qa,cross_task_cross_domain,384,0.273,0.254,0.266,0.353,109,902
gist,hotpot_qa,main_gist_hotpot_qa,overall,672,0.217,0.211,0.263,0.336,105,794
gist,hotpot_qa,main_gist_hotpot_qa,in_task,96,0.116,0.147,0.198,0.295,102,729
gist,hotpot_qa,main_gist_hotpot_qa,cross_task_in_domain,192,0.152,0.18,0.29,0.384,97,612
gist,hotpot_qa,main_gist_hotpot_qa,cross_task_cross_domain,384,0.275,0.243,0.265,0.323,109,902
gist,ms_marco,main_gist_ms_marco,overall,672,0.216,0.212,0.263,0.334,105,794
gist,ms_marco,main_gist_ms_marco,in_task,96,0.205,0.159,0.269,0.289,90,386
gist,ms_marco,main_gist_ms_marco,cross_task_cross_domain,576,0.218,0.221,0.262,0.341,108,862
gist,musr_mm,main_gist_musr_mm,overall,672,0.216,0.208,0.263,0.336,105,794
gist,musr_mm,main_gist_musr_mm,in_task,96,0.5,0.479,0.531,0.615,104,1057
gist,musr_mm,main_gist_musr_mm,cross_task_cross_domain,576,0.169,0.163,0.218,0.289,105,751
gist,narrativeqa,main_gist_narrativeqa,overall,672,0.216,0.195,0.263,0.323,105,794
gist,narrativeqa,main_gist_narrativeqa,in_task,96,0.125,0.126,0.114,0.16,92,1052
gist,narrativeqa,main_gist_narrativeqa,cross_task_in_domain,96,0.26,0.229,0.146,0.26,152,1112
gist,narrativeqa,main_gist_narrativeqa,cross_task_cross_domain,480,0.226,0.201,0.316,0.368,98,679
gist,quality,main_gist_quality,overall,672,0.216,0.155,0.263,0.317,105,794
gist,quality,main_gist_quality,in_task,96,0.26,0.24,0.146,0.281,152,1112
gist,quality,main_gist_quality,cross_task_in_domain,96,0.125,0.054,0.114,0.131,92,1052
gist,quality,main_gist_quality,cross_task_cross_domain,480,0.226,0.159,0.316,0.362,98,679
gist,trivia_qa,main_gist_trivia_qa,overall,672,0.216,0.222,0.263,0.351,105,794
gist,trivia_qa,main_gist_trivia_qa,in_task,96,0.177,0.37,0.215,0.474,102,1017
gist,trivia_qa,main_gist_trivia_qa,cross_task_in_domain,192,0.124,0.121,0.283,0.34,98,468
gist,trivia_qa,main_gist_trivia_qa,cross_task_cross_domain,384,0.273,0.236,0.265,0.325,109,902
cartridge,apibank,tool_cart_apibank,overall,576,0.102,0.108,0.5,0.521,148,859
cartridge,apibank,tool_cart_apibank,in_task,96,0.0,0.01,0.26,0.271,187,1147
cartridge,apibank,tool_cart_apibank,cross_task_in_domain,192,0.01,0.052,0.984,0.99,140,378
cartridge,apibank,tool_cart_apibank,cross_task_cross_domain,288,0.197,0.177,0.257,0.292,140,1084
cartridge,bfcl_simple,tool_cart_bfcl_simple,overall,576,0.095,0.125,0.498,0.523,148,859
cartridge,bfcl_simple,tool_cart_bfcl_simple,in_task,96,0.01,0.219,0.99,0.99,123,95
cartridge,bfcl_simple,tool_cart_bfcl_simple,cross_task_in_domain,192,0.005,0.0,0.62,0.62,172,904
cartridge,bfcl_simple,tool_cart_bfcl_simple,cross_task_cross_domain,288,0.183,0.176,0.254,0.303,140,1084
cartridge,rca_openrca,tool_cart_rca_openrca,overall,576,0.1,0.1,0.507,0.529,148,859
cartridge,rca_openrca,tool_cart_rca_openrca,in_task,96,0.146,0.135,0.438,0.438,165,1122
cartridge,rca_openrca,tool_cart_rca_openrca,cross_task_cross_domain,480,0.091,0.093,0.521,0.547,144,807
cartridge,toolace,tool_cart_toolace,overall,576,0.107,0.106,0.505,0.527,148,859
cartridge,toolace,tool_cart_toolace,in_task,96,0.01,0.042,0.979,0.979,158,661
cartridge,toolace,tool_cart_toolace,cross_task_in_domain,192,0.005,0.026,0.625,0.625,155,621
cartridge,toolace,tool_cart_toolace,cross_task_cross_domain,288,0.208,0.18,0.268,0.31,140,1084
gcm,apibank,tool_gcm_apibank,overall,576,0.093,0.09,0.497,0.521,148,859
gcm,apibank,tool_gcm_apibank,in_task,96,0.0,0.0,0.26,0.26,187,1147
gcm,apibank,tool_gcm_apibank,cross_task_in_domain,192,0.01,0.016,0.984,0.984,140,378
gcm,apibank,tool_gcm_apibank,cross_task_cross_domain,288,0.18,0.169,0.25,0.3,140,1084
gcm,bfcl_simple,tool_gcm_bfcl_simple,overall,576,0.095,0.108,0.507,0.529,148,859
gcm,bfcl_simple,tool_gcm_bfcl_simple,in_task,96,0.01,0.208,0.99,1.0,123,95
gcm,bfcl_simple,tool_gcm_bfcl_simple,cross_task_in_domain,192,0.005,0.0,0.62,0.62,172,904
gcm,bfcl_simple,tool_gcm_bfcl_simple,cross_task_cross_domain,288,0.183,0.146,0.271,0.312,140,1084
gcm,rca_openrca,tool_gcm_rca_openrca,overall,576,0.099,0.074,0.507,0.534,148,859
gcm,rca_openrca,tool_gcm_rca_openrca,in_task,96,0.135,0.198,0.438,0.49,165,1122
gcm,rca_openrca,tool_gcm_rca_openrca,cross_task_cross_domain,480,0.091,0.05,0.521,0.543,144,807
gcm,toolace,tool_gcm_toolace,overall,576,0.104,0.11,0.504,0.534,148,859
gcm,toolace,tool_gcm_toolace,in_task,96,0.01,0.062,0.979,0.979,158,661
gcm,toolace,tool_gcm_toolace,cross_task_in_domain,192,0.005,0.016,0.625,0.625,155,621
gcm,toolace,tool_gcm_toolace,cross_task_cross_domain,288,0.201,0.189,0.264,0.324,140,1084
gist,apibank,tool_gist_apibank,overall,576,0.096,0.105,0.51,0.545,148,859
gist,apibank,tool_gist_apibank,in_task,96,0.0,0.0,0.25,0.25,187,1147
gist,apibank,tool_gist_apibank,cross_task_in_domain,192,0.01,0.026,0.99,0.99,140,378
gist,apibank,tool_gist_apibank,cross_task_cross_domain,288,0.184,0.193,0.278,0.346,140,1084
gist,bfcl_simple,tool_gist_bfcl_simple,overall,576,0.094,0.144,0.491,0.529,148,859
gist,bfcl_simple,tool_gist_bfcl_simple,in_task,96,0.01,0.271,1.0,1.0,123,95
gist,bfcl_simple,tool_gist_bfcl_simple,cross_task_in_domain,192,0.005,0.01,0.615,0.615,172,904
gist,bfcl_simple,tool_gist_bfcl_simple,cross_task_cross_domain,288,0.181,0.19,0.239,0.315,140,1084
gist,rca_openrca,tool_gist_rca_openrca,overall,576,0.101,0.108,0.496,0.54,148,859
gist,rca_openrca,tool_gist_rca_openrca,in_task,96,0.146,0.135,0.385,0.396,165,1122
gist,rca_openrca,tool_gist_rca_openrca,cross_task_cross_domain,480,0.092,0.103,0.519,0.569,144,807
gist,toolace,tool_gist_toolace,overall,576,0.097,0.093,0.495,0.519,148,859
gist,toolace,tool_gist_toolace,in_task,96,0.01,0.062,0.979,0.979,158,661
gist,toolace,tool_gist_toolace,cross_task_in_domain,192,0.005,0.01,0.625,0.625,155,621
gist,toolace,tool_gist_toolace,cross_task_cross_domain,288,0.188,0.157,0.246,0.295,140,1084
